Model,EngineDisplacement,Cylinders,Trans,Drive,Fuel,VehClass,AirPollutionScore,CityMPG,HwyMPG,CmbMPG,Greenhouse Gas Score,SmartWay,CombCO2
BMW Alpina XB7,4.4,8,SemiAuto-8,4WD,Gasoline,standard SUV,5,16,20,17,3,No,506
BMW M2 Coupe,3,6,Man-6,2WD,Gasoline,small car,5,16,24,19,4,No,461
BMW M2 Coupe,3,6,SemiAuto-8,2WD,Gasoline,small car,5,16,23,19,4,No,472
BMW M235i xDrive Gran Coupe,2,4,SemiAuto-8,4WD,Gasoline,small car,3,24,33,27,5,No,324
BMW M235i xDrive Gran Coupe,2,4,SemiAuto-8,4WD,Gasoline,small car,3,24,33,27,5,No,324
BMW M240i Coupe,3,6,SemiAuto-8,2WD,Gasoline,small car,5,22,32,26,5,No,343
BMW M240i Coupe,3,6,SemiAuto-8,4WD,Gasoline,small car,5,23,32,26,5,No,338
BMW M3,3,6,Man-6,2WD,Gasoline,small car,5,16,23,19,4,No,472
BMW M340i,3,6,SemiAuto-8,2WD,Gasoline,small car,5,23,31,26,5,No,340
BMW M340i,3,6,SemiAuto-8,4WD,Gasoline,small car,5,23,32,26,5,No,339
BMW M4 CSL Coupe,3,6,SemiAuto-8,2WD,Gasoline,small car,5,16,23,18,4,No,485
BMW M4 Coupe,3,6,Man-6,2WD,Gasoline,small car,5,16,23,19,4,No,472
BMW M440i,3,6,SemiAuto-8,2WD,Gasoline,small car,5,24,32,27,5,No,325
BMW M440i,3,6,SemiAuto-8,4WD,Gasoline,small car,5,22,31,25,5,No,348
BMW M5,4.4,8,SemiAuto-8,4WD,Gasoline,midsize car,3,15,21,17,3,No,522
BMW M8 Competition Convertible,4.4,8,SemiAuto-8,4WD,Gasoline,small car,3,15,22,17,3,No,517
BMW M850i xDrive,4.4,8,SemiAuto-8,4WD,Gasoline,small car,3,17,24,19,4,No,457
BMW X1 xDrive28i,2,4,AMS-7,4WD,Gasoline,small SUV,8,25,34,28,6,No,313
BMW X2 M35i,2,4,SemiAuto-8,4WD,Gasoline,midsize car,3,24,31,27,5,No,333
BMW X2 M35i,2,4,SemiAuto-8,4WD,Gasoline,midsize car,3,24,31,27,5,No,333
BMW X2 sDrive28i,2,4,SemiAuto-8,2WD,Gasoline,midsize car,7,24,32,27,5,No,329
BMW X2 xDrive28i,2,4,SemiAuto-8,4WD,Gasoline,midsize car,7,24,31,27,5,No,333
BMW X3 M,3,6,SemiAuto-8,4WD,Gasoline,small SUV,3,15,20,17,3,No,519
BMW X3 M40i,3,6,SemiAuto-8,4WD,Gasoline,small SUV,5,21,26,23,5,No,378
BMW X4 M,3,6,SemiAuto-8,4WD,Gasoline,small SUV,3,15,20,17,3,No,519
BMW X4 M40i,3,6,SemiAuto-8,4WD,Gasoline,small SUV,5,21,26,23,5,No,378
BMW X4 xDrive30i,2,4,SemiAuto-8,4WD,Gasoline,small SUV,7,21,28,24,5,No,369
BMW X5 M,4.4,8,SemiAuto-8,4WD,Gasoline,standard SUV,3,13,18,15,2,No,586
BMW X5 M50i,4.4,8,SemiAuto-8,4WD,Gasoline,standard SUV,3,16,22,18,4,No,486
BMW X5 sDrive40i,3,6,SemiAuto-8,2WD,Gasoline,standard SUV,3,21,26,23,5,No,383
