Track,AlbumName,Artist,ReleaseDate,ISRC,AllTimeRank,TrackScore,SpotifyStreams,SpotifyPlaylistCount,SpotifyPlaylistReach,SpotifyPopularity,YouTubeViews,YouTubeLikes,TikTokPosts,TikTokLikes,TikTokViews
Jedag Jedug Capcut 2024,Jedag Jedug Capcut 2024,Afrian Af,1/5/2024,ATR981312465,142,127.4,,1,47,,,,"3,528,100","37,591,836","688,302,023"
Lady Killers II (Christoph Andersson Remix),Lady Killers II (Christoph Andersson Remix),G-Eazy,3/17/2024,TCAIA2495220,143,127.3,"94,635,338","10,537","11,716,074",,"944,314","17,943","1,300,000","182,937,084","1,542,242,100"
I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,4/5/2024,UKWLG2400013,144,126.9,"114,574,238","10,564","180,987,712",84,"9,134,225","124,326","299,000","4,419,373","79,796,400"
Abc,Abc,J Ross,2/14/2023,CLLU22300585,145,126.6,"31,867",5,"5,100",1,"1,538,564,650","2,066,653",,,
La Bachata,La Bachata,Manuel Turizo,5/26/2022,QZDYA1800087,146,126.2,"1,721,045,197","156,941","97,122,096",81,"798,827,877","3,379,928","1,614,275","209,367,923","2,596,777,974"
ýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýý,FLI:P,4/7/2023,FRX282306294,147,125.4,"8,028,757","1,972","488,653",44,"48,533,758","399,664","8,800,000","256,186,613","3,985,974,550"
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,3/19/2021,USUM72102636,148,125.2,"1,612,286,123","282,719","97,390,961",74,"1,019,256,266","10,280,320","1,404,274","502,778,982","4,702,037,810"
Don't Start Now,Don't Start Now,Dua Lipa,10/31/2019,GBAHT1901121,149,124.6,"2,607,121,959","270,230","143,953,432",78,"1,201,600,884","10,239,198","4,725,570","414,013,363","3,535,661,993"
Lucid Dreams,Lucid Dreams,Juice WRLD,5/4/2018,USUG11800685,150,123.9,"2,548,389,305","339,306","75,858,140",78,"987,143,411","9,384,427","1,900,813","44,442,433","338,071,383"
PROVENZA,PROVENZA,KAROL G,4/22/2022,USUM72205906,151,123.8,"1,185,929,926","103,026","64,847,502",76,"1,229,843,060","5,870,729","1,300,337","251,445,963","2,829,294,043"
WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,8/7/2020,USAT22005111,152,123.4,"1,325,725,696","171,255","53,040,559",72,"1,329,826,741","15,965,491","8,470,921","1,183,499,351","9,539,547,626"
SPOT!,SPOT!,ZICO,4/26/2024,USA2P2421932,153,122.8,"77,757,035","3,407","35,428,519",81,"100,148,771","2,531,168","99,900","46,645,177","366,905,484"
Family Matters,Family Matters,Drake,5/3/2024,USUG12402984,154,122.7,"72,335,127","8,696","36,774,031",86,"41,492,122","1,034,563",,,
Again,Missing,Kurochuu,6/9/2024,CA5KR2466577,155,122.5,"136,237,285",2,"2,190",2,,,,,
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,7/14/2023,USA2P2330093,156,122.4,"1,673,557,134","54,950","91,343,768",80,"397,523,735","10,125,293","341,522","114,990,786","761,760,624"
Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,USUG12300802,157,121.9,"922,010,059","107,189","61,174,155",79,"141,852,059","567,295","285,414","61,112,010","811,685,466"
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,IEACJ2300335,158,121.2,"532,012,790","22,396","130,752,527",85,"13,119,247","218,957",,,
Bad Habits,#NAME?,Ed Sheeran,1/1/2020,GBAHS2100318,159,120.8,"1,754,311,538","271,758","62,218,811",74,"958,790,883","7,686,994","1,036,355","225,139,300","2,658,904,267"
QLONA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/2023,USUG12305257,160,120.7,"850,810,162","56,104","79,334,561",82,"258,553,384","1,174,349","1,167,300","58,820,722","717,259,721"
Leave The Door Open,Leave The Door Open,Bruno Mars,3/5/2021,USAT22100906,161,120.1,"1,312,168,384","248,793","50,068,571",75,"993,324,548","9,537,455","1,503,567","369,280,607","3,350,704,343"
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý 3ýýýýýý ýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),1/5/2022,JPKI02118106,162,119.5,"548,408",130,"20,518",24,"1,356,336","17,701","18,000,000","334,009,036","7,041,708,832"
good 4 u,good 4 u,Olivia Rodrigo,5/14/2021,USUG12101245,163,117.8,"2,167,768,056","309,421","72,787,213",79,"773,591,065","11,098,007","1,893,481","1,080,682,523","8,186,754,429"
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,USUM71900764,164,117.7,"2,516,804,300","296,739","113,315,017",76,"1,779,243,626","26,239,833","3,774,645","177,247,662","1,409,756,969"
Seï¿½ï¿½o,Shawn Mendes (Deluxe),Shawn Mendes,5/25/2018,USUM71911283,165,117.6,"2,738,293,818","251,033","108,433,327",74,"2,372,399,124","26,919,886","5,815,851","140,938,643","1,859,977,153"
DESPECHï¿,DESPECHï¿,ROSALï¿½,7/28/2022,USSM12207207,166,116.9,"1,003,487,432","126,402","88,024,543",73,"621,874,255","2,859,234","2,409,247","476,447,290","6,208,638,113"
ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,4/17/2020,USUM72007941,167,116.7,"1,638,836,101","272,933","50,425,049",70,"1,170,441,361","13,667,470","5,241,838","364,560,431","3,869,815,694"
Eyes Closed,Eyes Closed (Piano Version),Ed Sheeran,3/23/2023,GBAHS2201304,168,116.6,"372,423,476","44,730","21,933,393",71,"131,308,671","1,074,684","1,102,985","38,959,591","830,123,390"
I Remember Everything (feat. Kacey Musgraves),I Remember Everything (feat. Kacey Musgraves),Zach Bryan,8/24/2023,USWB12304903,169,116.5,"630,373,315","70,400","105,320,547",84,"50,938,569","246,731","215,433","70,110,809","586,454,750"
Circles,Circles,Post Malone,8/30/2019,USUM71915699,170,116,"2,481,391,466","332,437","124,491,320",80,"1,116,323,669","8,490,012","83,111","26,892,604","273,522,601"
EL AMOR DE SU VIDA,EL AMOR DE SU VIDA,Grupo Frontera,8/3/2023,DGA062382895,171,115.9,"474,590,289","24,891","25,915,889",78,"577,930,708","1,569,516","136,500","32,754,141","509,287,649"
About Damn Time,About Damn Time,Lizzo,4/14/2022,USAT22202139,172,115.6,"847,025,688","104,052","47,808,065",66,"106,024,874","1,080,393","3,030,761","1,522,267,606","15,665,483,220"
Closer,Closer,The Chainsmokers,7/29/2016,USQX91601347,173,114.6,"2,880,536,961","285,381","129,399,627",80,"4,086,121,880","22,091,228","1,103,074","100,536,756","514,053,404"
FLOWER,ME,JISOO,3/31/2023,KRA402300002,174,114.3,"440,364,356","26,107","15,314,737",70,"525,156,884","10,820,829","3,411,209","550,993,898","6,724,997,940"
PERRO NEGRO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QMFME2364199,175,114.2,"689,181,455","61,138","90,492,257",83,"183,381,482","738,123","213,300","49,332,435","487,440,417"
Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs,Drake,10/6/2023,USUG12306085,176,113.2,"372,248,119","68,037","44,498,005",,"86,580,734","1,106,306","77,600","20,713,030","128,182,068"
Havana (feat. Young Thug),Havana,Camila Cabello,8/3/2017,USSM11706905,177,112.8,"2,072,182,782","194,332","86,159,672",75,"3,952,909,529","32,333,846","1,314,091","53,911,465","546,650,805"
LUNA,FERXXOCALIPSIS,Feid,12/1/2023,USUM72318216,178,112.6,"606,124,553","40,628","139,802,900",86,"166,363,445","1,019,744","14,519","5,128,004","29,601,244"
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,6/3/2022,USUM72208023,179,112.5,"827,950,825","118,965","64,661,540",73,"299,001,099","2,751,490","172,228","118,133,115","1,359,837,461"
Bones,Bones,Imagine Dragons,3/11/2022,USUM72201759,180,112,"1,227,475,431","180,053","70,861,210",78,"584,854,654","6,691,488","341,199","191,133,207","2,255,843,288"
Segï¿½ï¿½n Qu,Segï¿½ï¿½n Qu,Maluma,8/17/2023,USSD12300400,182,111.8,"571,366,508","32,236","42,828,677",79,"475,200,526","1,369,288",,,
Selfish,Selfish,Justin Timberlake,1/25/2024,USRC12400001,181,111.8,"92,932,220","8,847","31,258,778",,"42,581,931","513,055",,,
golden hour,golden hour,JVKE,7/15/2022,GBKPL2204171,183,111.4,"1,126,986,320","200,887","45,885,823",73,"293,553,015","5,388,022","461,623","313,934,124","2,305,840,359"
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,3/27/2020,GBAHT2000942,184,111.3,"2,074,721,986","255,296","109,442,317",77,"1,665,434,424","15,432,964","858,364","324,510,578","2,649,555,956"
Get It Sexyy,Get It Sexyy,Sexyy Red,3/15/2024,QZSYP2454435,185,111.1,"89,362,910","7,377","70,714,216",84,"37,676,729","525,264","361,700","71,058,620","476,545,000"
"This Wish - From ""Wish""","This Wish (From ""Wish"")",Ariana DeBose,10/18/2023,USWD12328242,186,110.9,"26,674,909","2,673","8,562,091",19,"7,863,539","84,565","4,304,279","50,776,319","709,276,580"
IDGAF (feat. Yeat),For All The Dogs,Drake,10/6/2023,USUG12306072,187,110.8,"406,875,019","85,930","45,178,662",,"39,850,191","427,973","1,225","2,163,852","22,689,637"
Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214888,188,110.7,"1,421,763,497","152,592","62,313,059",78,"945,857,087","5,587,691","179,400","14,518,451","225,142,753"
Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future,1/10/2020,USSM11914962,189,110.2,"1,237,874,594","276,882","51,153,940",67,"2,430,804,498","12,334,565","584,648","77,631,196","964,755,757"
Escapism.,Escapism. / The Thrill Is Gone.,RAYE,10/12/2022,QMDA62217995,190,110.1,"804,925,777","128,247","62,532,855",75,"175,393,116","1,729,347","935,169","362,063,344","3,209,982,240"
Stargazing,Stargazing,Myles Smith,5/10/2024,GBARL2400510,191,109.8,"106,599,323","9,406","164,949,597",87,"10,331,471","167,936",,"279,000","4,700,000"
Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,6/17/2022,USUG12204897,192,109.7,"971,473,231","239,671","77,479,207",78,"198,796,965","2,003,253","803,500","85,725,313","926,300,276"
What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,USUM72013339,193,109.5,"1,125,681,368","251,023","32,574,699",72,"306,628,096","3,322,075","5,487,112","345,484,397","2,775,640,343"
Memories,Memories,Maroon 5,9/20/2019,USUM71913350,194,109.3,"2,011,072,164","222,804","49,920,599",77,"1,290,292,327","11,720,744","2,377,898","155,233,360","1,458,416,059"
Classy 101,Classy 101,Feid,3/31/2023,USUM72304895,195,109.1,"872,148,396","90,726","70,485,920",78,"477,047,694","1,887,642","459,540","102,272,836","1,113,541,743"
Whatever,Whatever,Kygo,1/19/2024,USRC12302637,196,109,"222,354,971","17,551","159,961,203",83,"45,439,562","522,558",,,
Whatever She Wants,Whatever She Wants,Bryson Tiller,2/13/2024,USRC12400299,197,108.4,"207,093,873","23,181","114,051,028",87,"19,787,472","254,004","67,400","22,398,663","298,300,000"
Vois sur ton chemin - Techno Mix,Vois sur ton chemin (Techno Mix),BENNETT,8/4/2023,DEA622301801,198,107.8,"361,517,395","119,783","95,312,340",80,"37,192,341","491,577","13,334","1,804,060","35,999,853"
"yes, and?","yes, and?",Ariana Grande,1/12/2024,USUM72400048,199,107.5,"416,813,996","22,468","101,875,097",,"115,105,080","2,893,111","77,900","5,912,130","10,072,539"
Without Me,Without Me,Halsey,10/4/2018,USUM71813499,200,107.4,"2,042,792,456","198,888","69,311,277",75,"2,018,089,906","20,528,541","3,897,257","208,270,183","2,216,715,741"
meet the grahams,meet the grahams,Kendrick Lamar,5/3/2024,USUG12400909,201,107.3,"65,520,394","8,933","15,896,982",,"36,834,647","1,700,363",,"1,542,400","7,700,000"
First Person Shooter (feat. J. Cole),For All The Dogs,Drake,10/6/2023,USUG12306071,202,107.1,"328,526,298","72,252","68,612,350",,"61,769,035","1,228,629",859,"267,545","2,571,188"
Shallow,Shallow,Lady Gaga,9/27/2018,USUM71813192,204,106.9,"2,447,973,078","221,822","90,174,192",78,"2,732,311,956","15,274,815","52,698","11,103,476","168,789,459"
Thunder,Thunder,Imagine Dragons,4/27/2017,USUM71704167,203,106.9,"2,384,768,901","244,951","88,329,475",79,"2,707,166,590","16,780,231","1,839,173","79,131,934","906,537,912"
Rush,Rush,Ayra Starr,9/16/2022,NGA3B2216004,205,106.4,"371,886,608","98,009","19,411,516",67,"361,174,452","1,904,397","3,035,139","98,505,939","1,454,848,289"
abcdefu,abcdefu,GAYLE,8/13/2021,USAT22103652,206,106.2,"1,128,273,165","193,857","61,311,826",70,"499,895,662","6,801,671","2,167,302","1,127,247,971","12,414,681,151"
Buga,Buga,Kizz Daniel,5/3/2022,USUYG1425645,208,105.8,"86,516,910","30,835","3,440,925",57,"266,679,537","1,536,035","10,289,181","119,876,546","1,872,751,535"
Bad Habit,Bad Habit,Steve Lacy,6/29/2022,USRC12201440,207,105.8,"1,087,938,471","220,515","63,054,597",73,"147,472,695","2,050,299","902,163","360,938,850","2,783,442,788"
MONEY,LALISA,LISA,9/10/2021,KRA402100099,210,105.5,"1,189,335,848","103,236","33,637,835",73,"1,323,718,887","20,328,622","3,707,867","1,292,738,947","12,516,703,531"
Columbia,Columbia,Quevedo,7/7/2023,BK4DA2310533,209,105.5,"721,002,940","84,161","56,226,278",79,"266,411,536","1,343,262","372,100","71,411,756","752,868,970"
LADY GAGA,LADY GAGA,Peso Pluma,6/22/2023,QM7282306246,212,105.2,"684,204,777","48,370","25,130,304",78,"362,779,953","1,617,493","777,100","112,400,175","1,207,597,707"
Woman,Planet Her,Doja Cat,6/25/2021,USRC12101532,211,105.2,"1,606,950,381","217,443","95,985,096",78,"641,326,002","7,454,749","2,148,350","795,146,493","5,944,657,895"
CUFF IT,RENAISSANCE,Beyoncï¿,7/29/2022,USSM12206232,213,104.9,"795,960,535","100,204","68,659,216",73,"176,996,169","1,606,296","2,762,888","945,005,125","11,215,597,325"
KING KONG,KING KONG,TREASURE,5/28/2024,KRA402400030,214,104.5,"8,078,265",207,"12,311,489",68,"44,927,750","931,230",,,
How You Like That,How You Like That,BLACKPINK,6/25/2020,KRA402000111,215,104.5,"1,033,109,188","82,170","21,177,170",68,"1,584,676,582","29,210,301","10,007,464","628,046,798","7,988,463,856"
Milf Song,Milf Song,The Puddleducks,8/19/2022,QZMEP2285895,216,104.5,"1,165,982","1,176","23,110",28,"1,704,936,540","3,631,067","1,865","1,476,436","7,758,599"
Nasty,Nasty,Tinashe,4/12/2024,USLD91757578,217,104.4,"31,612,906","3,887","106,475,497",76,"6,277,949","171,470","535,464","171,691,158","1,051,026,401"
Superhero (Heroes & Villains),HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208783,218,104.4,"706,356,280","166,277","62,975,073",77,"172,653,099","1,750,863","32,432","14,181,961","108,461,504"
Panda,Panda,Desiigner,2/26/2016,USUM71601094,219,104.2,"1,181,348,550","170,002","34,000,497",62,"2,277,330,940","22,334,292","3,823,774","33,020,704","283,835,852"
Push Ups,Push Ups,Drake,4/19/2024,USUG12402283,220,103.9,"107,762,230","14,601","74,447,627",,"14,792,036","301,396",,,
Tattoo,Tattoo,Loreen,2/25/2023,SEUM72201638,221,103.9,"518,846,340","83,033","48,268,736",77,"348,331,280","3,205,077","236,349","68,936,229","718,955,243"
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,4/9/2021,USRC12100543,222,103.4,"1,823,871,908","262,313","116,916,147",76,"307,855,103","2,540,592","2,074,944","1,053,759,171","8,035,914,098"
What It Is (Block Boy) (with Kodak Black),What It Is (Versions),Doechii,3/17/2023,USUG12301757,223,103.3,"102,772,879","29,487","4,775,168",61,"65,934,972","760,669","3,308,739","92,626,234","847,338,969"
Gata Only,Gata Only - Single,FloyyMenor,12/21/2023,QZNN22329474,224,103.1,"4,674,619","1,841","61,398",,"108,313,521","990,782","2,200,000","35,324,159","391,444,977"
Illusion,Illusion,Dua Lipa,4/11/2024,GBAHT2400114,225,103.1,"108,501,771","7,430","117,576,704",12,"3,947,610","60,459","3,584","4,057","38,200"
drivers license,drivers license,Olivia Rodrigo,1/8/2021,USUG12004749,226,102.9,"2,184,754,018","250,778","70,173,770",79,"984,811,734","18,682,671","1,365,848","617,386,471","3,781,894,216"
Used To Be Young,Endless Summer Vacation,Miley Cyrus,8/18/2023,USSM12306461,227,102.4,"205,468,104","30,639","39,407,660",69,"61,624,959","1,364,492","67,350","33,519,594","503,074,793"
Cupid - Twin Ver.,The Beginning: Cupid - Single,FIFTY FIFTY,2/24/2023,KSA012239181,229,102.3,"861,388,470","103,040","37,365,896",48,"15,219,067","176,594","2,107,181","407,118,298","4,388,576,830"
How Sweet,How Sweet,NewJeans,5/24/2024,USA2P2414843,228,102.3,"33,595,707","1,940","36,883,184",79,"40,327,759","965,652",,,
Players,Players,Coi Leray,11/30/2022,USUM72222387,230,101.8,"465,588,517","91,658","60,607,887",67,"109,781,672","1,706,148","1,456,347","477,814,190","4,784,803,362"
rockstar (feat. 21 Savage),rockstar,Post Malone,9/15/2017,USUM71710087,231,101.8,"2,960,046,642","352,745","82,442,565",77,"2,391,850,868","23,334,015","196,242","40,652,322","456,931,528"
Lil Somethin Somethin,Lil Somethin Somethin,Vayah,3/11/2023,QZDA72340256,232,101.5,"11,648",6,"2,392",,"1,175,875,850","1,505,556",,,
Con Calma,Con Calma,Daddy Yankee,1/24/2019,US2BU1900125,236,101.4,"1,353,028,938","160,122","52,701,166",73,"3,207,187,334","16,913,257","1,190,870","26,028,684","319,615,777"
Here With Me,Here With Me,d4vd,7/20/2022,QZMEM2209263,234,101.4,"1,042,311,849","154,178","58,833,842",80,"256,736,243","2,649,848","2,321,933","467,461,517","3,656,967,030"
Favorite Song,Favorite Song,Toosii,2/17/2023,USUM72301797,235,101.4,"186,579,651","45,668","6,252,506",62,"231,699,320","1,670,867","249,537","11,127,302","117,325,107"
Si No Quieres No,Si No Quieres No - Single,Luis R Conriquez,3/9/2024,US3DF2417042,233,101.4,"158,131,138","5,423","71,590,238",85,"135,893,150","889,014","142,300","14,500","147,200"
Mele Kalikimaka,"Essential Classics, Vol. 166: Bing Crosby",Bing Crosby,6/5/2024,ES31E2401197,237,101.3,"186,123,398",52,"50,069",,,,,,
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,3/26/2021,USSM12100531,238,100.8,"1,902,241,314","316,054","50,751,390",70,"274,582,854","3,603,644","2,297,386","864,049,980","7,655,286,423"
Voz Emplumada del Monte,Voz Emplumada - EP,Biomigrant,3/3/2023,QZ5FN2369288,239,100.3,"42,761",80,"1,636",16,"1,138,846,819","2,113,492",,,
Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),Taylor Swift,10/26/2023,USUG12306691,240,100.2,"406,821,432","20,404","26,073,555",,"23,505,530","266,969","80,218","12,641,848","113,073,762"
Si No Estï¿½,Si No Estï¿½ï¿½s - Si,iï¿½ï¿½igo quin,9/22/2022,TCAGM2208561,241,100.1,"665,716,137","97,057","33,252,792",80,"358,206,246","2,896,698","2,900,087","216,927,444","2,653,383,273"
Glimpse of Us,Glimpse of Us,Joji,6/10/2022,USWB12201789,242,99.8,"1,262,308,912","234,936","83,890,841",74,"66,246,839","2,067,331","865,354","1,031,153,514","8,988,453,878"
Watermelon Sugar,Watermelon Sugar,Harry Styles,11/17/2019,USSM11912587,243,99.7,"2,708,151,499","298,135","159,003,869",82,"872,052,223","11,269,126","1,375,118","301,076,974","2,738,127,473"
Corazï¿½ï¿½n de Pi,Corazï¿½ï¿½n de Piedra - Si,Xavi,3/23/2024,USA2P2414894,244,98.8,"172,164,034","5,517","48,983,734",82,"117,450,205","1,103,003",,,
Praise Jah In The Moonlight,Praise Jah In the Moonlight - Single,YG Marley,12/27/2023,CH7811111177,245,98.5,"298,853,393","50,137","43,508,958",70,"112,961,806","2,336,117",,"64,504,808","928,812,348"
WHERE SHE GOES,WHERE SHE GOES,Bad Bunny,5/18/2023,QM6P42334528,246,98.4,"717,849,037","98,440","37,797,217",72,"217,687,654","1,929,598","308,670","85,402,638","808,518,802"
Yandel 150,Yandel 150,Yandel,12/20/2022,QMFMF2215173,247,98.1,"837,576,264","102,545","38,825,844",70,"472,335,529","1,511,715","632,917","43,022,167","631,781,362"
THATS WHAT I WANT,MONTERO,Lil Nas X,9/17/2021,USSM12105732,248,98,"1,062,095,453","165,197","75,503,476",72,"194,928,107","3,281,325","1,174,669","331,324,816","3,501,946,982"
Todo De Ti,Todo De Ti,Rauw Alejandro,5/20/2021,USSD12100202,249,98,"1,339,352,060","188,874","76,063,128",75,"873,449,363","6,108,611","3,247,015","488,004,183","4,445,597,088"
Chemical,Chemical,Post Malone,4/14/2023,USUM72305205,250,97.6,"503,574,147","79,679","43,648,353",75,"90,349,145","902,237","20,078","8,878,995","134,469,226"
See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa,1/1/2015,USAT21703595,251,97.6,"1,891,920,348","159,571","73,641,738",78,"6,335,989,683","43,663,933","2,196,129","424,216,963","3,455,170,110"
Drip Too Hard (Lil Baby & Gunna),Drip Too Hard,Lil Baby,9/12/2018,USUG11801811,252,97.5,"1,486,929,795","266,128","52,476,635",76,"637,733,433","4,719,266","618,523","58,332,458","523,849,646"
Shooting Star,Kep1going On,Kep1er,6/3/2024,KRA492400678,253,97.3,"1,534,062",193,"3,187,862",,"28,023,956","185,464",,,
Uptown Funk,Full Circle: The Live Anthology,Mark Ronson,11/20/2011,GBARL1401524,254,97.1,"1,993,030,264","256,764","149,909,699",77,"5,644,117,304","24,960,395","274,381","98,429,039","1,268,235,679"
Dog's Plan,Thoughts Feelings,David Jackson,3/2/2023,USZXT2350766,255,97,,44,"1,243",3,"1,131,058,312","2,367,298",,,
love nwantiti (ah ah ah),CKay The First,CKay,8/30/2019,QMEU31910213,256,96.9,"853,451,422","172,458","43,607,688",71,"1,132,006,963","25,943,716","12,330,900","1,768,913,633","23,933,379,729"
Mi Gente,Mi Gente,J Balvin,6/30/2017,FR22F1701790,257,96.4,"1,478,442,472","189,504","45,240,294",69,"3,859,031,931","22,147,063","163,477","67,021,310","1,018,060,369"
Late Night Talking,Harry's House,Harry Styles,5/20/2022,USSM12200610,258,96.4,"959,639,297","108,806","62,563,751",76,"151,113,156","2,809,492","101,923","64,491,271","580,526,441"
Miss You,Miss You,Oliver Tree,8/5/2022,USAT22211992,261,96.2,"631,378,937","165,883","38,563,849",51,"32,628,348","615,240","1,905,732","363,515,584","5,776,425,361"
girls like me don't cry,Girls Like Me Don't Cry,thï¿½ï,10/6/2022,QZLBC2200766,260,96.2,"69,931,412","13,220","8,876,286",61,"63,786,141","759,332","9,009,769","496,871,104","6,778,569,349"
Yummy Fruits and Vegetables,Yummy Fruits and Vegetables,D Billions,10/20/2020,AEA0D2036458,259,96.2,"2,300,838",543,"19,016",35,"3,060,919,074","6,319,360","1,690","50,237","4,527,607"
Dakiti,Dakiti,Bad Bunny,1/1/2020,QMFME2004132,262,96.1,"1,977,947,460","245,685","56,430,031",72,"1,861,597,184","10,999,677","21,703","1,119,576","21,573,356"
Starboy,Starboy,The Weeknd,9/22/2016,USUG11600976,265,95.7,"3,291,262,413","366,133","98,022,646",84,"2,829,990,867","14,968,547","262,780","52,707,882","375,498,232"
Sorry,Sorry,Justin Bieber,10/23/2015,USUM71516760,264,95.7,"2,089,476,497","179,545","89,286,647",78,"4,467,507,940","22,464,625","2,463,600","48,687,438","376,376,728"
Calling My Phone,Calling My Phone,Lil Tjay,2/12/2021,USSM12100388,263,95.7,"777,064,903","213,153","29,437,172",71,"482,028,631","5,431,785","1,378,861","181,697,356","1,411,545,704"
Pink Venom,Pink Venom,BLACKPINK,8/19/2022,KRA402200017,266,95.6,"736,469,450","48,251","22,817,940",68,"868,589,823","16,834,955","1,833,169","587,311,863","5,828,265,172"
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401040,267,95,"250,430,303","7,079","134,357,870",84,"16,747,466","251,549","148,000","52,156,902","411,722,900"
death bed (coffee for your head),"Some Boring, Love Stories, Pt. 2",Powfu,2/9/2019,USSM12000925,268,94.8,"1,656,385,770","283,938","62,191,957",74,"1,135,382,823","15,066,754","7,578,918","610,598,789","5,007,036,875"
Too Many Nights (feat. Don Toliver & with Future),HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208784,269,94.5,"682,837,690","155,771","28,629,209",80,"191,823,612","1,853,827","41,044","23,532,424","185,584,934"
MELTDOWN (feat. Drake),MELTDOWN (feat. Drake),Travis Scott,7/27/2023,USSM12305021,270,94.3,"347,647,880","106,908","29,964,622",74,"30,685,665","405,870","19,100","6,796,886","53,065,653"
California Gurls,Girl Power 2023,Katy Perry,9/19/2023,USCA21001182,271,94.2,,,,,"4,534,591","47,967",,,
Moscow Mule,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214875,272,94.1,"1,108,031,580","121,256","44,739,826",77,"765,780,154","4,700,638","222,100","106,783,326","940,630,746"
Something Just Like This,Something Just Like This,The Chainsmokers,2/22/2017,USQX91700278,273,94,"2,596,644,721","278,237","128,709,855",82,"2,822,804,239","15,242,846","350,848","80,813,727","631,258,708"
7 rings,7 rings,Ariana Grande,1/18/2019,USUM71900110,274,93.9,"2,262,490,403","179,865","89,518,199",77,"1,903,198,886","22,206,277","3,040,090","282,688,098","2,620,954,252"
Moonlight,Moonlight,Kali Uchis,2/24/2023,USUM72219486,275,93.1,"701,558,859","110,539","46,729,655",74,"209,195,939","2,284,142","594,413","173,483,893","1,114,531,877"
Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685,6/11/2020,USSM12003798,276,93.1,"1,118,038,333","142,905","27,025,973",67,"481,447,573","3,636,839","10,104,238","420,225,179","4,530,095,073"
Bidi Bidi Bom Bom (Remasterizado 2024/30th Anniversary),Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,USUM72402910,277,93,"58,157,068",30,"171,325",,,,,,
God's Plan,Diplomatic Immunity,Drake,1/20/2018,USCM51800004,278,92.9,"2,529,948,475","313,741","79,266,167",77,"2,040,639,375","19,912,225","640,874","70,576,617","634,177,218"
Sunroof,Sunroof,Nicky Youre,11/26/2021,QM24S2107064,279,92.3,"879,708,559","44,652","23,104,189",12,"74,610,328","807,333","11,172,130","1,672,193,890","22,086,963,233"
La Vï¿½ï¿½c,La Vï¿½ï¿½c,Xavi,8/19/2023,USA2P2339944,280,92,"521,116,293","24,734","22,828,160",81,"427,625,497","2,560,068","33,444","11,882,123","107,781,205"
MY EYES,UTOPIA,Travis Scott,7/28/2023,USSM12305007,281,91.9,"403,132,906","103,255","13,549,357",78,"42,319,491","564,712","8,436","16,565,594","139,973,656"
WORK,GOLDEN HOUR : Part.1,ATEEZ,5/31/2024,KRD442400011,282,91.7,"10,135,326",678,"14,542,753",31,"29,271,837","586,888",,,
Despacito - Remix,Despacito Feat. Justin Bieber (Remix),Luis Fonsi,4/17/2017,USUM71703825,284,91.5,"1,713,294,983","134,700","39,604,784",65,"2,920,155,266","17,308,189","1,323,640","61,011,622","607,999,568"
Ghost,Justice,Justin Bieber,3/19/2021,USUM72102635,283,91.5,"1,586,830,204","151,923","73,574,395",80,"476,319,277","4,622,504","797,409","122,390,348","1,180,485,094"
